Station,metro,coor
Третьяковская,"Москва, станция метро Третьяковская","(55.738862, 37.6284034)"
Медведково,"Москва, станция метро Медведково","(55.886766, 37.6615351)"
Первомайская,"Москва, станция метро Первомайская","(55.7931157, 37.7999286)"
Калужская,"Москва, станция метро Калужская","(55.6550976, 37.5421849)"
Каховская,"Москва, станция метро Каховская","(55.6536252, 37.6054067)"
Бульвар адмирала Ушакова,"Москва, станция метро Бульвар адмирала Ушакова","(55.5412982, 37.5436975)"
Павелецкая,"Москва, станция метро Павелецкая","(55.7318034, 37.6352106)"
Волжская,"Москва, станция метро Волжская","(55.6886367, 37.7581513)"
Шаболовская,"Москва, станция метро Шаболовская","(55.7189065, 37.6091413)"
Автозаводская,"Москва, станция метро Автозаводская","(55.7053229, 37.66)"
Тимирязевская,"Москва, станция метро Тимирязевская","(55.9022631, 37.5875956)"
ВДНХ,"Москва, станция метро ВДНХ","(55.8240069, 37.6387399)"
Александровский сад,"Москва, станция метро Александровский сад","(55.7523778, 37.6104202)"
Фонвизинская,"Москва, станция метро Фонвизинская","(55.8212915, 37.5910924)"
Воронцовская,"Москва, станция метро Воронцовская","(55.6560988, 37.5413445)"
Дмитровская,"Москва, станция метро Дмитровская","(55.8088822, 37.5768699)"
Новые Черёмушки,"Москва, станция метро Новые Черёмушки","(55.6696146, 37.5573109)"
Андроновка,"Москва, станция метро Андроновка","(55.746238, 37.737241)"
Пушкинская,"Москва, станция метро Пушкинская","(55.7598865, 37.6097479)"
Маяковская,"Москва, станция метро Маяковская","(55.7695645, 37.5957983)"
Нижегородская,"Москва, станция метро Нижегородская","(55.7270149, 37.7297479)"
Ботанический сад,"Москва, станция метро Ботанический сад","(55.845974, 37.6388258)"
Белорусская,"Москва, станция метро Белорусская","(55.7735692, 37.5884034)"
Красногвардейская,"Москва, станция метро Красногвардейская","(55.6141388, 37.748647)"
Комсомольская,"Москва, станция метро Комсомольская","(55.7727349, 37.6591597)"
Нагатинская,"Москва, станция метро Нагатинская","(55.6772902, 37.6253782)"
Алтуфьево,"Москва, станция метро Алтуфьево","(55.8986305, 37.5854244)"
Новопеределкино,"Москва, станция метро Новопеределкино","(55.6379109, 37.3561345)"
Балтийская,"Москва, станция метро Балтийская","(55.823931, 37.494541)"
Белокаменная,"Москва, станция метро Белокаменная","(55.828817, 37.703926)"
Текстильщики,"Москва, станция метро Текстильщики","(55.7061572, 37.7317647)"
Кожуховская,"Москва, станция метро Кожуховская","(55.7000774, 37.9334893)"
Марьино,"Москва, станция метро Марьино","(55.6507592, 37.7453782)"
Преображенская площадь,"Москва, станция метро Преображенская площадь","(55.7964349, 37.7175592)"
Новослободская,"Москва, станция метро Новослободская","(55.7799775, 37.6021809)"
Фили,"Москва, станция метро Фили","(55.7418655, 37.5132773)"
Кунцевская,"Москва, станция метро Кунцевская","(55.7260137, 37.4445378)"
Домодедовская,"Москва, станция метро Домодедовская","(55.6072084, 37.7238655)"
Мнёвники,"Москва, станция метро Мнёвники","(55.7575505, 37.4734454)"
Охотный ряд,"Москва, станция метро Охотный ряд","(55.7576014, 37.6141539)"
Новокосино,"Москва, станция метро Новокосино","(55.7411981, 37.8655462)"
Курская,"Москва, станция метро Курская","(55.7588462, 37.6580446)"
Лухмановская,"Москва, станция метро Лухмановская","(55.7059903, 37.9080672)"
Достоевская,"Москва, станция метро Достоевская","(55.7765727, 37.6141176)"
Международная,"Москва, станция метро Международная","(55.7432004, 37.5381513)"
Борисово,"Москва, станция метро Борисово","(55.6340731, 37.7457143)"
Верхние Котлы,"Москва, станция метро Верхние Котлы","(55.690129, 37.617335)"
Беговая,"Москва, станция метро Беговая","(55.7737517, 37.5435194)"
Терехово,"Москва, станция метро Терехово","(55.7430335, 37.4596639)"
Савёловская,"Москва, станция метро Савёловская","(55.7899216, 37.5914286)"
Волоколамская,"Москва, станция метро Волоколамская","(55.8354747, 37.3791597)"
Парк Победы,"Москва, станция метро Парк Победы","(55.7368314, 37.5149502)"
Чертановская,"Москва, станция метро Чертановская","(55.6403651, 37.6056508)"
Филёвский парк,"Москва, станция метро Филёвский парк","(55.7380277, 37.487395)"
Фрунзенская,"Москва, станция метро Фрунзенская","(55.7264965, 37.5816021)"
Кузнецкий мост,"Москва, станция метро Кузнецкий мост","(55.7572168, 37.627395)"
Волхонка,"Москва, станция метро Волхонка","(55.745037, 37.603614)"
Воробьёвы горы,"Москва, станция метро Воробьёвы горы","(55.709478, 37.559295)"
Водный стадион,"Москва, станция метро Водный стадион","(55.8381445, 37.4894118)"
Улица 1905 года,"Москва, станция метро Улица 1905 года","(55.7633266, 37.5595112)"
Ломоносовский проспект,"Москва, станция метро Ломоносовский проспект","(55.705156, 37.5139496)"
Марксистская,"Москва, станция метро Марксистская","(55.7404533, 37.6567809)"
Боровское шоссе,"Москва, станция метро Боровское шоссе","(55.6427499, 37.3719328)"
Партизанская,"Москва, станция метро Партизанская","(55.7866072, 37.7509755)"
Улица академика Янгеля,"Москва, станция метро Улица академика Янгеля","(55.5910229, 37.6052101)"
Краснопресненская,"Москва, станция метро Краснопресненская","(55.7603546, 37.5784086)"
Авиамоторная,"Москва, станция метро Авиамоторная","(55.7515552, 37.7161454)"
Чкаловская,"Москва, станция метро Чкаловская","(55.7547138, 37.6598319)"
Тульская,"Москва, станция метро Тульская","(55.7059903, 37.6255462)"
Лермонтовский проспект,"Москва, станция метро Лермонтовский проспект","(55.7016519, 37.8586555)"
Спартак,"Москва, станция метро Спартак","(55.8186217, 37.4384874)"
Арбатская,"Москва, станция метро Арбатская","(55.7522109, 37.6087395)"
Аннино,"Москва, станция метро Аннино","(55.5770065, 37.5963025)"
Севастопольская,"Москва, станция метро Севастопольская","(55.652261, 37.5973109)"
Профсоюзная,"Москва, станция метро Профсоюзная","(55.6773595, 37.5653375)"
Улица Горчакова,"Москва, станция метро Улица Горчакова","(55.5389621, 37.5295798)"
Мякинино,"Москва, станция метро Мякинино","(55.822832, 37.3848599)"
Октябрьская,"Москва, станция метро Октябрьская","(55.7313014, 37.6124383)"
Пионерская,"Москва, станция метро Пионерская","(55.7358585, 37.4709244)"
Площадь Ильича,"Москва, станция метро Площадь Ильича","(55.7468622, 37.6813566)"
Рассказовка,"Москва, станция метро Рассказовка","(55.6345737, 37.3373109)"
Нагатинский Затон,"Москва, станция метро Нагатинский Затон","(55.6846321, 37.7078992)"
Измайловская,"Москва, станция метро Измайловская","(55.7878979, 37.7792632)"
Косино,"Москва, станция метро Косино","(55.70282, 37.8578151)"
Битцевский парк,"Москва, станция метро Битцевский парк","(55.6008677, 37.5583193)"
Сокол,"Москва, станция метро Сокол","(55.8032511, 37.5133165)"
Рижская,"Москва, станция метро Рижская","(55.7845828, 37.6346737)"
Сокольники,"Москва, станция метро Сокольники","(55.7897353, 37.6800073)"
Смоленская,"Москва, станция метро Смоленская","(55.7488802, 37.5830392)"
Парк культуры,"Москва, станция метро Парк культуры","(55.7360974, 37.593141)"
Мичуринский проспект,"Москва, станция метро Мичуринский проспект","(55.6878024, 37.4805042)"
Котельники,"Москва, станция метро Котельники","(55.6719506, 37.8621849)"
Библиотека имени Ленина,"Москва, станция метро Библиотека имени Ленина","(55.752885, 37.6115674)"
Некрасовка,"Москва, станция метро Некрасовка","(55.7024862, 37.9314286)"
Волгоградский проспект,"Москва, станция метро Волгоградский проспект","(55.7226765, 37.6912605)"
Трубная,"Москва, станция метро Трубная","(55.768897, 37.6238655)"
Динамо,"Москва, станция метро Динамо","(55.7911187, 37.5543308)"
Алексеевская,"Москва, станция метро Алексеевская","(55.8090207, 37.6369168)"
Выставочная,"Москва, станция метро Выставочная","(55.750437, 37.538546)"
Планерная,"Москва, станция метро Планерная","(55.8614996, 37.4346134)"
Спортивная,"Москва, станция метро Спортивная","(55.7215084, 37.5630252)"
Выставочный центр,"Москва, станция метро Выставочный центр","(55.823741, 37.638938)"
Таганская,"Москва, станция метро Таганская","(55.7413464, 37.6529092)"
Киевская,"Москва, станция метро Киевская","(55.7408643, 37.5640336)"
Выхино,"Москва, станция метро Выхино","(55.715542, 37.817434)"
Деловой центр,"Москва, станция метро Деловой центр","(55.743701, 37.5415126)"
Бульвар Дмитрия Донского,"Москва, станция метро Бульвар Дмитрия Донского","(55.5688303, 37.5776471)"
Шипиловская,"Москва, станция метро Шипиловская","(55.6200567, 37.7457143)"
Полянка,"Москва, станция метро Полянка","(55.7368597, 37.6226891)"
Крылатское,"Москва, станция метро Крылатское","(55.7548807, 37.4082353)"
Сходненская,"Москва, станция метро Сходненская","(55.8519131, 37.4389829)"
Площадь Революции,"Москва, станция метро Площадь Революции","(55.7548807, 37.6248739)"
Юго-Западная,"Москва, станция метро Юго-Западная","(55.6589354, 37.487395)"
Шоссе Энтузиастов,"Москва, станция метро Шоссе Энтузиастов","(55.7585981, 37.7523684)"
Китай-город,"Москва, станция метро Китай-город","(55.75422, 37.634245)"
Щукинская,"Москва, станция метро Щукинская","(55.8100039, 37.461373)"
Лесопарковая,"Москва, станция метро Лесопарковая","(55.5766728, 37.5776471)"
Новогиреево,"Москва, станция метро Новогиреево","(55.7518772, 37.8235294)"
Минская,"Москва, станция метро Минская","(55.7223427, 37.4954622)"
